index,coordinates,type,owner,troops,distance,resources,tribe,alliance,village,population
tile_20_-12,"(20, -12)",Wilderness,nature,,,,,,,
tile_20_-11,"(20, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-10,"(20, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-9,"(20, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-8,"(20, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-7,"(20, -7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-6,"(20, -6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-5,"(20, -5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-4,"(20, -4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-3,"(20, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-2,"(20, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_-1,"(20, -1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_0,"(20, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_1,"(20, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_2,"(20, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_3,"(20, 3)",Unoccupied oasis,nature,,43.7,Iron,,,,
tile_20_4,"(20, 4)",Unoccupied oasis,nature,,43.6,Iron,,,,
tile_20_5,"(20, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_6,"(20, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_7,"(20, 7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_8,"(20, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_9,"(20, 9)",Wilderness,nature,,,,,,,
tile_20_10,"(20, 10)",Occupied oasis,ss8,,43.0,"Clay,Crop",Gauls,R.E 1,s1s,
tile_20_11,"(20, 11)",Unoccupied oasis,nature,,43.0,Clay,,,,
tile_20_12,"(20, 12)",Wilderness,nature,,,,,,,
tile_20_13,"(20, 13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_14,"(20, 14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_15,"(20, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_16,"(20, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_17,"(20, 17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_18,"(20, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_19,"(20, 19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_20,"(20, 20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_21,"(20, 21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_22,"(20, 22)",Wilderness,nature,,,,,,,
tile_20_23,"(20, 23)",Occupied oasis,mshimshek,,44.6,Crop,Huns,HUNTR,01,
tile_20_24,"(20, 24)",Unoccupied oasis,nature,,44.9,Crop,,,,
tile_20_25,"(20, 25)",Unoccupied oasis,nature,,45.2,Iron,,,,
tile_20_26,"(20, 26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_27,"(20, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_28,"(20, 28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_29,"(20, 29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_30,"(20, 30)",Unknown,referi1102,,47.0,,Romans,,,555.0
tile_20_31,"(20, 31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_32,"(20, 32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_33,"(20, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_34,"(20, 34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_35,"(20, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_36,"(20, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_37,"(20, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_38,"(20, 38)",Wilderness,nature,,,,,,,
tile_20_39,"(20, 39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_40,"(20, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_41,"(20, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_20_42,"(20, 42)",Wilderness,nature,,,,,,,
tile_20_43,"(20, 43)",Unoccupied oasis,nature,,53.6,Lumber,,,,
tile_20_44,"(20, 44)",Unoccupied oasis,nature,,54.2,Crop,,,,
tile_20_45,"(20, 45)",Unoccupied oasis,nature,,54.8,"Iron,Crop",,,,
tile_20_46,"(20, 46)",Wilderness,nature,,,,,,,
tile_20_47,"(20, 47)",Unoccupied oasis,nature,"[{'unit': 'Bear', 'count': 4}, {'unit': 'Tiger', 'count': 9}]",56.1,Crop,,,,
tile_21_-52,"(21, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-51,"(21, -51)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-50,"(21, -50)",village,Jun,,74.1,,Gauls,A,,573.0
tile_21_-49,"(21, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-48,"(21, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-47,"(21, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-46,"(21, -46)",Wilderness,nature,,,,,,,
tile_21_-45,"(21, -45)",Wilderness,nature,,,,,,,
tile_21_-44,"(21, -44)",Love City,Princesstatjana,,69.2,,Romans,R.E 4,,615.0
tile_21_-43,"(21, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-42,"(21, -42)",Wilderness,nature,,,,,,,
tile_21_-41,"(21, -41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-40,"(21, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-39,"(21, -39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-38,"(21, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-37,"(21, -37)",Wilderness,nature,,,,,,,
tile_21_-36,"(21, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-35,"(21, -35)",f,f1qBQ7z7WI,,62.3,,Teutons,,,19.0
tile_21_-34,"(21, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-33,"(21, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-32,"(21, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-31,"(21, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-30,"(21, -30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-29,"(21, -29)",Wilderness,nature,,,,,,,
tile_21_-28,"(21, -28)",…,zzzz,,57.3,,Romans,SE,,411.0
tile_21_-27,"(21, -27)",..,zzzz,,56.6,,Romans,SE,,578.0
tile_21_-26,"(21, -26)",Deoxy,Deoxy,,56.0,,Egyptians,A2,,196.0
tile_21_-25,"(21, -25)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 10}]",55.3,Lumber,,,,
tile_21_-24,"(21, -24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-23,"(21, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-22,"(21, -22)",Deoxy Köyü,Deoxy,,53.4,,Egyptians,A2,,387.0
tile_21_-21,"(21, -21)",King Anas,Lucifer1,,52.8,,Huns,R.E 4,,440.0
tile_21_-20,"(21, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-19,"(21, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-18,"(21, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-17,"(21, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-16,"(21, -16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-15,"(21, -15)",Wilderness,nature,,,,,,,
tile_21_-14,"(21, -14)",Wilderness,nature,,,,,,,
tile_21_-13,"(21, -13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-12,"(21, -12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-11,"(21, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-10,"(21, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-9,"(21, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-8,"(21, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-7,"(21, -7)",Wilderness,nature,,,,,,,
tile_21_-6,"(21, -6)",Wilderness,nature,,,,,,,
tile_21_-5,"(21, -5)",Wilderness,nature,,,,,,,
tile_21_-4,"(21, -4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-3,"(21, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_-2,"(21, -2)",Wilderness,nature,,,,,,,
tile_21_-1,"(21, -1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_0,"(21, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_1,"(21, 1)",Wilderness,nature,,,,,,,
tile_21_2,"(21, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_3,"(21, 3)",Wilderness,nature,,,,,,,
tile_21_4,"(21, 4)",Wilderness,nature,,,,,,,
tile_21_5,"(21, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_6,"(21, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_7,"(21, 7)",Occupied oasis,الطائر,,42.2,Crop,Teutons,R.E 1,اللؤلؤة السوداء,
tile_21_8,"(21, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_9,"(21, 9)",Wilderness,nature,,,,,,,
tile_21_10,"(21, 10)",ج,Fleet 7,,42.0,,Gauls,R.E 1,,206.0
tile_21_11,"(21, 11)",Unoccupied oasis,nature,,42.0,Clay,,,,
tile_21_12,"(21, 12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_13,"(21, 13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_14,"(21, 14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_15,"(21, 15)",Unknown,Stayalive,,42.2,,Huns,ST,,201.0
tile_21_16,"(21, 16)",Wilderness,nature,,,,,,,
tile_21_17,"(21, 17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_18,"(21, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_19,"(21, 19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_20,"(21, 20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_21,"(21, 21)",Wilderness,nature,,,,,,,
tile_21_22,"(21, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_23,"(21, 23)",Unoccupied oasis,nature,,43.7,Iron,,,,
tile_21_24,"(21, 24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_25,"(21, 25)",Wilderness,nature,,,,,,,
tile_21_26,"(21, 26)",village,sudan,,44.6,,Huns,,,112.0
tile_21_27,"(21, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_28,"(21, 28)",Wilderness,nature,,,,,,,
tile_21_29,"(21, 29)",Occupied oasis,SHINESTAR,,45.7,"Lumber,Crop",Gauls,HUNTR,01,
tile_21_30,"(21, 30)",Wilderness,nature,,,,,,,
tile_21_31,"(21, 31)",Wilderness,nature,,,,,,,
tile_21_32,"(21, 32)",Occupied oasis,Churin,,47.0,"Clay,Crop",Huns,LC,Chocholate Tornado,
tile_21_33,"(21, 33)",Unoccupied oasis,nature,,47.4,Clay,,,,
tile_21_34,"(21, 34)",Unoccupied oasis,nature,,47.9,Clay,,,,
tile_21_35,"(21, 35)",Wilderness,nature,,,,,,,
tile_21_36,"(21, 36)",Wilderness,nature,,,,,,,
tile_21_37,"(21, 37)",Unoccupied oasis,nature,,49.4,"Lumber,Crop",,,,
tile_21_38,"(21, 38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_39,"(21, 39)",Natars,Natars,,50.5,,Natars,,,132.0
tile_21_40,"(21, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_41,"(21, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_42,"(21, 42)",Unoccupied oasis,nature,,52.2,"Lumber,Crop",,,,
tile_21_43,"(21, 43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_44,"(21, 44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_45,"(21, 45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_21_46,"(21, 46)",Natars,Natars,,54.7,,Natars,,,106.0
tile_21_47,"(21, 47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-52,"(22, -52)",Wilderness,nature,,,,,,,
tile_22_-51,"(22, -51)",Unoccupied oasis,nature,,74.3,Iron,,,,
tile_22_-50,"(22, -50)",Wilderness,nature,,,,,,,
tile_22_-49,"(22, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-48,"(22, -48)",Unknown,Blazz,,71.8,,Huns,SE,,762.0
tile_22_-47,"(22, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-46,"(22, -46)",Natars,Natars,,70.2,,Natars,,,69.0
tile_22_-45,"(22, -45)",Wilderness,nature,,,,,,,
tile_22_-44,"(22, -44)",Wilderness,nature,,,,,,,
tile_22_-43,"(22, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-42,"(22, -42)",Occupied oasis,Princesstatjana,,67.0,Crop,Romans,R.E 4,Love City,
tile_22_-41,"(22, -41)",Wilderness,nature,,,,,,,
tile_22_-40,"(22, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-39,"(22, -39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-38,"(22, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-37,"(22, -37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-36,"(22, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-35,"(22, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-34,"(22, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-33,"(22, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-32,"(22, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-31,"(22, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-30,"(22, -30)",Wilderness,nature,,,,,,,
tile_22_-29,"(22, -29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-28,"(22, -28)",eRB,eRB2g9,,56.6,,Romans,,,115.0
tile_22_-27,"(22, -27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-26,"(22, -26)",….,zzzz,,55.2,,Romans,SE,,231.0
tile_22_-25,"(22, -25)",Wilderness,nature,,,,,,,
tile_22_-24,"(22, -24)",Wilderness,nature,,,,,,,
tile_22_-23,"(22, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-22,"(22, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-21,"(22, -21)",Wilderness,nature,,,,,,,
tile_22_-20,"(22, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-19,"(22, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-18,"(22, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-17,"(22, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-16,"(22, -16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-15,"(22, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-14,"(22, -14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-13,"(22, -13)",Wilderness,nature,,,,,,,
tile_22_-12,"(22, -12)",Wilderness,nature,,,,,,,
tile_22_-11,"(22, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-10,"(22, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-9,"(22, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-8,"(22, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-7,"(22, -7)",Unoccupied oasis,nature,,44.8,Lumber,,,,
tile_22_-6,"(22, -6)",Wilderness,nature,,,,,,,
tile_22_-5,"(22, -5)",Unknown,Thewiseone,,44.0,,Huns,R.E,,294.0
tile_22_-4,"(22, -4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-3,"(22, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-2,"(22, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_-1,"(22, -1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_0,"(22, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_1,"(22, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_2,"(22, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_3,"(22, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_4,"(22, 4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_5,"(22, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_6,"(22, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_7,"(22, 7)",Wilderness,nature,,,,,,,
tile_22_8,"(22, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_9,"(22, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_10,"(22, 10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_11,"(22, 11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_12,"(22, 12)",Wilderness,nature,,,,,,,
tile_22_13,"(22, 13)",Unoccupied oasis,nature,,41.0,Lumber,,,,
tile_22_14,"(22, 14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_15,"(22, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_16,"(22, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_17,"(22, 17)",Wilderness,nature,,,,,,,
tile_22_18,"(22, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_19,"(22, 19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_20,"(22, 20)",Wilderness,nature,,,,,,,
tile_22_21,"(22, 21)",Pudge,proc024,,42.2,,Egyptians,TCC,,764.0
tile_22_22,"(22, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_23,"(22, 23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_24,"(22, 24)",Wilderness,nature,,,,,,,
tile_22_25,"(22, 25)",Yeni Köy,DarbeliMatkap,,43.3,,Egyptians,HNTR1,,101.0
tile_22_26,"(22, 26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_27,"(22, 27)",Aldea de KENA,KENA,,44.0,,Gauls,,,22.0
tile_22_28,"(22, 28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_29,"(22, 29)",Majapahit,Gilgamesh,,44.8,,Egyptians,BRIX,,709.0
tile_22_30,"(22, 30)",Wilderness,nature,,,,,,,
tile_22_31,"(22, 31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_32,"(22, 32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_33,"(22, 33)",Unoccupied oasis,nature,,46.5,Clay,,,,
tile_22_34,"(22, 34)",Occupied oasis,Churin,,47.0,"Lumber,Crop",Huns,LC,Chocholate Tornado,
tile_22_35,"(22, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_36,"(22, 36)",Wilderness,nature,,,,,,,
tile_22_37,"(22, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_38,"(22, 38)",Wilderness,nature,,,,,,,
tile_22_39,"(22, 39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_40,"(22, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_41,"(22, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_42,"(22, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_43,"(22, 43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_44,"(22, 44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_45,"(22, 45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_46,"(22, 46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_22_47,"(22, 47)",village,Zeref,,54.6,,Teutons,,,50.0
